Kp,Rt_Kp,St_Kp,Ov_Kp,Ki,Rt_Ki,St_Ki,Ov_Ki,Kd,Rt_Kd,St_Kd,Ov_Kd
0,0.662652196119788,5.72266927249929,35.9917241023934,1,0.171969330843936,6.55270197978259,0,0,0.184401124689602,1.93228164140679,19.301936196261
0.01,0.660888282200543,5.69643222576576,35.4082299170982,1.05,0.171215485712035,6.20044763344509,0,0.001,0.184915494007471,1.92444763835942,18.9743268495991
0.02,0.659000362523064,5.66840690599172,34.8053883122222,1.1,0.170151645259147,5.87964846092497,0,0.002,0.185206405223724,1.91666121360889,18.652013756313
0.03,0.657327088955017,5.63763406529631,34.2332035538825,1.15,0.169184971707851,5.58642751962471,0,0.003,0.185460872229877,1.90850211108652,18.3315956544796
0.04,0.655653778015755,5.60407828118568,33.6663209126675,1.2,0.168526191641234,5.31687962351967,0,0.004,0.185861615465071,1.90007162122379,18.0467758981013
0.05,0.653717037389542,5.566174757312,33.0911655791181,1.25,0.167806149931905,5.06917012109298,0,0.005,0.186132521329533,1.89130864837334,17.7263165557527
0.06,0.652072983739584,5.52308022453429,32.5275249239368,1.3,0.166836112448505,4.84020582144003,0,0.006,0.186425667145785,1.88228341783721,17.3887082980018
0.07,0.650462457731903,5.47194888226288,31.9846765527405,1.35,0.165920149231877,4.62754890609045,0,0.007,0.18681913571405,1.87297579948658,17.1093824693194
0.08,0.648754397722357,5.40199296749775,31.4431926021859,1.4,0.165370767786472,4.42991645752774,0,0.008,0.187204296376782,1.86305457245288,16.8122389972035
0.09,0.646809392588087,4.50561043091799,30.8849504372867,1.45,0.164513028202393,4.24594772150778,0,0.009,0.187557969190226,1.85272715531926,16.4966414197643
0.1,0.645397464359079,4.49076902193964,30.3684529892645,1.5,0.163691380431838,4.07301203476818,0,0.01,0.187886028898723,1.84207230758729,16.1635610645603
0.11,0.643692407164367,4.4751653977382,29.8519160433015,1.55,0.163102237216096,3.91179730672593,0,0.011,0.188251878781061,1.83060869115529,15.8926948569579
0.12,0.64200512405089,4.45869154028258,29.3367673291796,1.6,0.162403508491454,3.76041601159276,0,0.012,0.188591145413163,1.81787638865433,15.5963376840839
0.13,0.640319636500597,4.44153477633345,28.8284606679851,1.65,0.161658431414166,3.61738061377982,0,0.013,0.188908799159828,1.80426453463389,15.2838903416813
0.14,0.638476488439898,4.42337792389002,28.3295876903875,1.7,0.160971484003603,3.48272147710556,0,0.014,0.189201741400284,1.7885807557976,14.9635379532897
0.15,0.636793002577859,4.40447885741123,27.8342279806122,1.75,0.160268188312652,3.35512316802287,0,0.015,0.189484652152077,1.76883998373812,14.6903683947306
0.16,0.635171175721575,4.3842198159867,27.3472150624801,1.8,0.159614891541987,3.23457618717991,0,0.016,0.189890082418014,1.25156573704813,14.3996437522698
0.17,0.633538901329489,4.36279443973956,26.85931413768,1.85,0.158955900382849,3.11998139068208,0,0.017,0.190298283754949,1.25111259574606,14.0902737208241
0.18,0.631554896880313,4.34006009838609,26.3854163927776,1.9,0.158296681935038,3.01101727242997,0,0.018,0.190584709961155,1.25049142336673,13.7799879525042
0.19,0.629911247725159,4.31603462097272,25.9226238953355,1.95,0.157649449187729,2.90690687222268,0,0.019,0.190973560807533,1.25018898114123,13.503330153315
0.2,0.628417626719635,4.2892563867618,25.4571925653302,2,0.15699538420802,2.80822162404063,0.24249472261515,0.02,0.191366211972348,1.24974965666488,13.2216478920163
0.21,0.626619786334854,4.26078426242815,24.9985010085375,2.05,0.156383685795124,2.71443208601696,0.501906626814197,0.021,0.191763110666946,1.24934153133116,12.9269998903334
0.22,0.624879120062222,4.2289915382939,24.549724960011,2.1,0.155804547487542,2.62411115181486,0.764006695677266,0.022,0.192160329706299,1.24910022361909,12.6171892970618
0.23,0.623117370408029,4.19297543146995,24.1013061545163,2.15,0.155200320303078,2.53733906483961,1.02460833883866,0.023,0.192557722527324,1.24869060001329,12.3355563856271
0.24,0.621459190495411,4.15158650169401,23.6588210630266,2.2,0.154595271289153,2.45398470022168,1.28522498779595,0.024,0.192897983842216,1.24858944107782,12.0628047681369
0.25,0.619799542395611,4.10032050062782,23.2153356298196,2.25,0.154021464235917,2.37344044238387,1.54567256250884,0.025,0.193212860842394,1.24841701608801,11.7746027898352
0.26,0.618111120930159,4.02483565681825,22.7982239286707,2.3,0.153455100464211,2.29648435535916,1.80627718238782,0.026,0.193619443675432,1.24823973846214,11.4706959226784
0.27,0.616574433688006,3.24413059040614,22.3846635646291,2.35,0.152893600638443,2.2234514844378,2.06707036055138,0.027,0.191171391112585,1.24824864806291,11.1930084209246
0.28,0.614864580723456,3.23520198838986,21.9666069540389,2.4,0.152313284884392,2.15341804696139,2.32703386149225,0.028,0.191461343070372,1.24836751839493,10.9020388621145
0.29,0.613147790842894,3.22587171543581,21.5426814921584,2.45,0.151781580628787,2.08582363428732,2.58763310012491,0.029,0.191725073496337,1.24841813702888,10.6385942091166
0.3,0.611437027333477,3.21626796920715,21.130933127595,2.5,0.151245230700756,2.01892879308868,2.84830385327861,0.03,0.191262748741033,1.24863754996916,10.3631627139749
0.31,0.609716943708761,3.20630094855221,20.719046303652,2.55,0.150712544021679,1.95038666760061,3.10890425081292,0.031,0.190798284642517,1.24906805304988,10.0756335422652
0.32,0.607950513208208,3.19589678076203,20.3491741754956,2.6,0.150184239280024,1.88425823813559,3.36954908662115,0.032,0.190332050689743,1.24946682256547,9.77600895754167
0.33,0.606280423011375,3.1850879134946,19.9303859832145,2.65,0.149658799424329,1.82064574303889,3.63077112166974,0.033,0.18986378165789,1.24989252193126,9.51833903374677
0.34,0.604561070715112,3.17396162329877,19.5456832019727,2.7,0.149141286672978,1.76458517703137,3.89106171972204,0.034,0.189393639214682,1.25075036667514,9.25325466787756
0.35,0.602689897100148,3.16236410764523,19.141250113845,2.75,0.14863410465093,1.71378340912165,4.15198858096719,0.035,0.18892168679926,1.25165054717172,8.97629743136661
0.36,0.578472494064864,3.15056939137743,18.776813078192,2.8,0.148137571742579,1.66210006813234,4.41223443110794,0.036,0.188458634025727,1.25260386276327,8.70284526492775
0.37,0.576482435766176,3.13798651563363,18.4146955319393,2.85,0.147640316055653,1.61453745903762,4.67278248520116,0.037,0.187987895151144,1.25372693942584,8.43459269171176
0.38,0.574501257119506,3.12442453029909,18.0025567977396,2.9,0.147158637111178,1.56112309505328,4.93346620613999,0.038,0.18751348979515,1.25515538148823,8.15805198116582
0.39,0.572534640824011,3.11072167523998,17.6855287145482,2.95,0.146674908914107,1.49374304786733,5.19388792353872,0.039,0.187036583385208,1.25687168786248,7.8774905987721
0.4,0.570581352466867,3.09675258722747,17.3007833925299,3,0.146197040477138,1.40250306988395,5.45495374362994,0.04,0.186558195825911,1.25886934553153,7.60214675402779
0.41,0.568634336415248,3.08169170426807,16.9650557320713,3.05,0.145732496290594,1.35511350810544,5.715429278028,0.041,0.186077836897089,1.26118517648273,7.34941175169979
0.42,0.566705310413438,3.06550091032927,16.6659743658565,3.1,0.145266073281665,1.29846452073761,5.97607105869804,0.042,0.185595666754797,1.26390318037006,7.09199431083636
0.43,0.564794741732925,3.04881475032748,16.2280504405178,3.15,0.144809384460878,1.26604385009601,6.23667849681544,0.043,0.185111692694564,1.26717967770769,6.82962448548028
0.44,0.562891734628826,3.03103483757407,15.8508998357635,3.2,0.144355838662144,1.24002299155146,6.49722628598155,0.044,0.184628065466123,1.27101672317571,6.5619571069546
0.45,0.56100874244035,3.01265030752081,15.4969518861608,3.25,0.14390711555798,1.21637601217753,6.75751013604389,0.045,0.184147555875038,1.27550225605655,6.28878618680793
0.46,0.5591407956365,2.99257702642458,15.1930148770494,3.3,0.143463936961312,1.18940020960095,7.01892904056092,0.046,0.183658160431391,1.28049288542874,6.04060150526695
0.47,0.557286394115395,2.97117429012878,14.8137243192015,3.35,0.143026569163921,1.16497575070553,7.27947876113575,0.047,0.183169927528349,1.28644504634936,5.77435587903357
0.48,0.555450914833358,2.94805058762971,14.5105885966345,3.4,0.142593943266055,1.1239057245315,7.54007462426678,0.048,0.18268281829779,1.29422647604835,5.50873430036316
0.49,0.553633310335279,2.92333156164284,14.1804773209375,3.45,0.142165833601712,0.963735558167271,7.80066781949549,0.049,0.182193330538047,1.30359340158607,5.24508257553267
0.5,0.551833947914156,2.89599972716715,13.8260278947886,3.5,0.141742903185055,0.964065554657723,8.06124815322504,0.05,0.181702644070889,1.31546532796237,4.99048444306796
0.51,0.550051662783963,2.86576489779466,13.5613892511779,3.55,0.141324469033119,0.819148590523839,8.32182734493563,0.051,0.181210717451279,1.3308389697301,4.74539024181531
0.52,0.54828905672005,2.83130671994294,13.235762786915,3.6,0.140910519083909,0.807801820187849,8.58242919504877,0.052,0.180716330812024,1.35088699373885,4.49708329266325
0.53,0.546545144703394,2.7896177361732,12.9065168895188,3.65,0.140501135506411,0.796908207237637,8.84301394141358,0.053,0.180217685057544,1.37555064086792,4.24188449488538
0.54,0.544822473665436,2.73293765181952,12.5522432967669,3.7,0.140096043238878,0.786250949842714,9.10360334280536,0.054,0.179716805841096,1.39880450135609,3.98653069003188
0.55,0.543120237274737,2.03293170837604,12.2729631918951,3.75,0.139695377734902,0.77583126734762,9.36434680086806,0.055,0.179217357351658,1.41510395239011,3.73163634234013
0.56,0.54143838011651,2.02944550460665,11.9794660144316,3.8,0.139298950496077,0.746978681784962,9.6249322281661,0.056,0.178719268384454,1.42617220614669,3.48232684503591
0.57,0.539778881987094,2.02600187436358,11.6782663891187,3.85,0.138906691327859,0.742764202848257,9.88552497510393,0.057,0.178217330988999,1.4340670621814,3.23550238416837
0.58,0.538141206015057,2.0219878185184,11.4182457285068,3.9,0.138517777564635,0.738282366814988,10.1461064051249,0.058,0.177713385683738,1.43983484763277,2.98822626744262
0.59,0.53652618063995,2.01856843212555,11.1085181543454,3.95,0.138132936815715,0.733520196763926,10.4066954618451,0.059,0.177207494977604,1.44401682967837,2.74431828154333
0.6,0.534934763186427,2.01461710627482,10.831188900645,4,0.137753695483299,0.918315604832851,10.6672771616019,0.06,0.176702874860599,1.44775520986445,2.52289054449317
0.61,0.533367064208272,2.0104135301436,10.552347178282,4.05,0.137375603428128,0.931598820908282,10.9278675062999,0.061,0.176193514521879,1.44968580405259,2.28182681644378
0.62,0.531823587608364,2.00642401305955,10.2821517534409,4.1,0.137002588904236,0.94059934580896,11.1878047227483,0.062,0.175682456711479,1.4510202754483,2.04216532007957
0.63,0.530306723145337,2.00197250119579,10.0171433867912,4.15,0.136632594724302,0.991714839055532,11.4486670297242,0.063,0.175169601589514,1.4518602615761,1.80306606168683
0.64,0.528811535196965,1.99749447463193,9.75267028983455,4.2,0.136266330550542,1.01010541422966,11.7092492164175,0.064,0.174653904502216,1.45242524740736,1.55892351577092
0.65,0.527342375867771,1.99288353504761,9.49000606270372,4.25,0.135905790025412,1.02542323521248,11.9698320397605,0.065,0.174137006641609,1.45247365127126,1.31512517980164
0.66,0.525901320251614,1.98823083328468,9.23789509897264,4.3,0.135547349930426,1.03973412349564,12.2303989406024,0.066,0.173621537427644,1.45217087068594,1.07613209342066
0.67,0.524486934368809,1.98344019030657,8.98540914893318,4.35,0.135189991256571,1.0520266599103,12.490986598829,0.067,0.173102669712961,1.45175937156647,0.840447300269931
0.68,0.523097644264194,1.97818582823582,8.73331118274672,4.4,0.134838293052947,1.06292060409032,12.7515874562386,0.068,0.172580224844002,1.45101923209749,0.61796988734073
0.69,0.52174101886938,1.97227924286435,8.48550623921294,4.45,0.134490513335083,1.07390777371962,13.0121764934946,0.069,0.172054592606449,1.4500420518078,0.391275636058186
0.7,0.520407417384915,1.96733330637667,8.24026534618871,4.5,0.13414752346961,1.08499259468583,13.2729650223641,0.07,0.171527011580709,1.44885609992722,0.161663768147791
0.71,0.51910419014922,1.96139920894003,8.00162749004714,4.55,0.133805992961791,1.15210763446884,13.533549961153,0.071,0.170998689287847,1.44752735683359,0
0.72,0.517830768528027,1.9555369401144,7.76723956246712,4.6,0.133465414396291,1.151862702051,13.7941293734833,0.072,0.170472022725348,1.44609916277372,0
0.73,0.516587944852725,1.94903212060792,7.53160246243865,4.65,0.13312980633808,1.15423912909133,14.0547268174572,0.073,0.169942606474119,1.44451885740529,0
0.74,0.515374239563812,1.94290420934656,7.30605130590583,4.7,0.132797289550435,1.15589977063459,14.3153271052458,0.074,0.169409632360149,1.4426086627603,0
0.75,0.514191210441186,1.93554073883823,7.07462212108587,4.75,0.132469081161969,1.15595338918984,14.5758947583059,0.075,0.168882293376101,1.44028448440076,0
0.76,0.513036850207912,1.92868235217113,6.85083858116999,4.8,0.132138538632153,1.16111339565624,14.8364885915338,0.076,0.168345084790843,1.43830948686343,0
0.77,0.511923031100304,1.92133157991677,6.63211684452085,4.85,0.131813490240684,1.15466326901467,15.0970814714516,0.077,0.16780494375264,1.43768856770243,0
0.78,0.510828412173598,1.91351635376006,6.41724269190784,4.9,0.131495054656135,1.15895130234858,15.3576697251326,0.078,0.167266309262497,1.43596602456336,0
0.79,0.509776203810385,1.90520618208953,6.20002012232519,4.95,0.131175505156261,1.15605765181717,15.6182410350555,0.079,0.166732302802083,1.43222526915349,0
0.8,0.508750349271451,1.89645644956822,5.98416693149391,5,0.130857710160406,1.15929700053309,15.8788201688746,0.08,0.166180402001372,1.42982351387458,0
0.81,0.507763633085699,1.88713740818201,5.77411878608387,,,,,0.081,0.165644585969925,1.42744431247621,0
0.82,0.506816181668289,1.87780747944301,5.57523012878185,,,,,0.082,0.165092033402618,1.42536613598041,0
0.83,0.505890099879111,1.86772804512286,5.37128331211101,,,,,0.083,0.164548904386282,1.42292232871714,0.063919361766596
0.84,0.505008284248768,1.85685735317196,5.16993591240575,,,,,0.084,0.163994213536671,1.42076246851144,0.242494673728921
0.85,0.504160995564316,1.84588464831416,5.03188410660613,,,,,0.085,0.163438776036158,1.41845416298545,0.41981230933863
0.86,0.503354071399442,1.83455513614509,4.78837350999721,,,,,0.086,0.162889524290243,1.41657240495686,0.597105536103193
0.87,0.502580737207926,1.82224207306536,4.5968237118126,,,,,0.087,0.16233288584267,1.4131211546909,0.774469587049453
0.88,0.501864901716513,1.80938518693114,4.40633218390187,,,,,0.088,0.161768905330314,1.41280463508543,0.951805859041244
0.89,0.501164932199904,1.79554412402534,4.21944968069861,,,,,0.089,0.161210664195128,1.40906774207878,1.12913142543809
0.9,0.500511066506421,1.78073524133973,4.03593602077683,,,,,0.09,0.16065027569956,1.40590501765943,1.30646453023877
0.91,0.499880545962891,1.76546485166926,3.85524669388035,,,,,0.091,0.160086757503095,1.40487724805004,1.4837836565091
0.92,0.499332031837101,1.748851553432,3.67796995552951,,,,,0.092,0.159515431258002,1.40148741557154,1.66110181997126
0.93,0.498777147217521,1.72759701521175,3.4966364145117,,,,,0.093,0.158950059858193,1.39689343504309,1.83841964457365
0.94,0.498285131876323,1.71044629802041,3.32339682221283,,,,,0.094,0.158377757427556,1.39346311228924,2.01577084726996
0.95,0.49784195408145,1.69139687803034,3.15258772860947,,,,,0.095,0.157805775293319,1.39062588038523,2.19307956785357
0.96,0.497451696389575,1.67042292875374,2.99203054925412,,,,,0.096,0.157231044800797,1.38833134709131,2.37039541837853
0.97,0.497085253091175,1.64555599707462,2.82977274844909,,,,,0.097,0.156651654609996,1.38595306927757,2.5477264754012
0.98,0.496783603417316,1.61494143035543,2.66667960228686,,,,,0.098,0.15607485356754,1.3834857411669,2.72506568106976
0.99,0.496537866122256,1.58127075399995,2.51626833068694,,,,,0.099,0.155491269444509,1.38036687354137,2.90241684321275
1,0.49630959914091,1.54434920986401,2.35954477490368,,,,,0.1,0.15490651402121,1.37673145601584,3.07967869305197
1.01,0.496175449050287,1.47040292156429,2.20463701585794,,,,,0.101,0.154322850822826,1.37508224598432,3.25727603292303
1.02,0.496060557836892,1.38568585349089,2.05545795411843,,,,,0.102,0.153734079731601,1.36916890360401,3.43437136700977
1.03,0.495970103397463,0.895297796747934,1.91075399007972,,,,,0.103,0.15314419918496,1.36562020378826,3.61169757160142
1.04,0.495967848299143,0.901401728570628,1.76450925189475,,,,,0.104,0.152547468287152,1.36631718736344,3.78901074005475
1.05,0.496036573150875,0.964553328826518,1.62792391754851,,,,,0.105,0.151955131385438,1.36318603916726,3.96604887294405
1.06,0.496106672731004,0.957215648185815,1.49455643847527,,,,,0.106,0.151358292086386,1.35957999263609,4.14386006945202
1.07,0.496244601333334,0.966717963585696,1.36490467089989,,,,,0.107,0.150758011653319,1.35705860846186,4.32101299324115
1.08,0.496461719841695,0.961318075068042,1.23555065372867,,,,,0.108,0.150157007963626,1.35283695377513,4.49802277904881
1.09,0.496719618095767,0.964896547315074,1.10849247338212,,,,,0.109,0.1495492169923,1.35657718368228,4.67540542480729
1.1,0.192866948787736,0.967862230412058,0.992161414273851,,,,,0.11,0.148944000336414,1.35161695076536,4.85269098876866
1.11,0.191101726292063,0.968984840851287,0.870019743314932,,,,,0.111,0.148335439795341,1.34256659751497,5.02997178960827
1.12,0.189356623472578,0.966111470222141,0.779908863805456,,,,,0.112,0.147723289597335,1.34070445306336,5.20732042468377
1.13,0.187634847547837,0.972388196545424,0.690009123948299,,,,,0.113,0.147108623601918,1.33983608423105,5.38467122037887
1.14,0.185934882939248,0.982840255309504,0.600697883592671,,,,,0.114,0.146492208491628,1.34518347078103,5.56199028143303
1.15,0.184256387503541,0.995403883854112,0.522473856315231,,,,,0.115,0.145871529826469,1.34566774359562,5.73934428242651
1.16,0.182595918906729,1.00942338085235,0.426778706612563,,,,,0.116,0.145250527002094,1.33414784472091,5.91669177884804
1.17,0.180958500923772,1.02467430514564,0.358712436621755,,,,,0.117,0.144624733461446,1.31637787957091,6.09397373412615
1.18,0.179340023945434,1.04053731771691,0.300692205846276,,,,,0.118,0.143996988317299,1.30853074777804,6.27132785129352
1.19,0.177741555948893,1.05617530562026,0.241102177872299,,,,,0.119,0.143367455085299,1.30426114384943,6.4486987301756
1.2,0.176164357262046,1.070774999903,0.180996718220072,,,,,0.12,0.142734302294674,1.29683261525427,6.62602979879146
1.21,0.174605382372585,1.08390300338132,0.131311290562963,,,,,0.121,0.142098411531917,1.29207769303624,6.80334928109223
1.22,0.173067538322803,1.09548838248701,0.084549622163821,,,,,0.122,0.14146274699835,1.28832495152484,6.9806506786414
1.23,0.17154896782766,1.10559418464546,0.048482743465117,,,,,0.123,0.140822232558413,1.28466759237923,7.15805645738961
1.24,0.170048097222401,1.11456426230645,0.029021451688727,,,,,0.124,0.140175799264101,1.27969432318187,7.33532690586047
1.25,0.168567206573362,1.12251366243667,0.010514897636682,,,,,0.125,0.139532550304117,1.27637212686664,7.51261953343883
1.26,0.167105177965731,1.12943969210132,0,,,,,0.126,0.138883580506874,1.27196807227791,7.69026236116623
1.27,0.165661489585775,1.13576889881678,0,,,,,0.127,0.13823143769513,1.34401308910155,7.86758442528057
1.28,0.164236198262709,1.14138765386768,0,,,,,0.128,0.13757521474846,1.26498382878025,8.0446815244904
1.29,0.162829087194676,1.1706483342112,0,,,,,0.129,0.13691877147028,1.26222188540243,8.22192746774628
